Epoch 1, Training Loss: 2.471135004618776, Evaluation Loss: 2.4516280091603595, Evaluation Accuracy: 0.23733333333333334
Epoch 46, Training Loss: 2.2994272961556037, Evaluation Loss: 2.30924944404761, Evaluation Accuracy: 0.7973333333333333
Epoch 47, Training Loss: 2.298263095747008, Evaluation Loss: 2.3090302110513052, Evaluation Accuracy: 0.8026666666666666
Epoch 48, Training Loss: 2.2971258864144937, Evaluation Loss: 2.3088292765220007, Evaluation Accuracy: 0.8053333333333333
Epoch 49, Training Loss: 2.296015093975933, Evaluation Loss: 2.308646038969358, Evaluation Accuracy: 0.808
Epoch 50, Training Loss: 2.2949300519574947, Evaluation Loss: 2.3084799147049586, Evaluation Accuracy: 0.8106666666666666
Epoch 51, Training Loss: 2.293870042795651, Evaluation Loss: 2.30833052500089, Evaluation Accuracy: 0.8106666666666666
Epoch 52, Training Loss: 2.2928342876311776, Evaluation Loss: 2.308197470506032, Evaluation Accuracy: 0.8133333333333334
Epoch 53, Training Loss: 2.2918219058830367, Evaluation Loss: 2.308080530087153, Evaluation Accuracy: 0.824
Epoch 54, Training Loss: 2.2908319213361703, Evaluation Loss: 2.3079795365333555, Evaluation Accuracy: 0.824
Epoch 55, Training Loss: 2.2898633249889864, Evaluation Loss: 2.3078944295247394, Evaluation Accuracy: 0.8266666666666667
Epoch 56, Training Loss: 2.288915069204306, Evaluation Loss: 2.3078253104686737, Evaluation Accuracy: 0.8293333333333334
Epoch 57, Training Loss: 2.28798612787106, Evaluation Loss: 2.3077723031044006, Evaluation Accuracy: 0.8293333333333334
Epoch 58, Training Loss: 2.2870754949320777, Evaluation Loss: 2.307735673189163, Evaluation Accuracy: 0.832
Epoch 59, Training Loss: 2.2861822167528327, Evaluation Loss: 2.3077157220045725, Evaluation Accuracy: 0.832
Epoch 60, Training Loss: 2.285305447309453, Evaluation Loss: 2.3077128925323485, Evaluation Accuracy: 0.8293333333333334
Epoch 61, Training Loss: 2.2844444484672497, Evaluation Loss: 2.3077276023228963, Evaluation Accuracy: 0.8346666666666667
Epoch 62, Training Loss: 2.283598653604096, Evaluation Loss: 2.3077603931427, Evaluation Accuracy: 0.832
Epoch 63, Training Loss: 2.2827676285172656, Evaluation Loss: 2.3078118320306142, Evaluation Accuracy: 0.8346666666666667
Epoch 64, Training Loss: 2.2819510716621645, Evaluation Loss: 2.307882514556249, Evaluation Accuracy: 0.8346666666666667
Epoch 65, Training Loss: 2.2811489086921446, Evaluation Loss: 2.307973002354304, Evaluation Accuracy: 0.8346666666666667
Early Stopping
